launch number,launch angle,initial velocity,initial vertical velocity,initial horizontal velocity,time of flight,launch distance
1,55.22363355888666,9.60405444435957,7.888621929821857,5.477910716555763,1.6082817390054753,8.810023773339031
2,0.8939588586426606,5.690211121832629,0.08877806179861313,5.689518526797415,0.01809950291510971,0.10297745716134052
3,39.940691609353934,9.62431637013643,6.178756370455988,7.37905382193582,1.2596852946903134,9.295285588220906
4,80.57284915805096,4.857886778057968,4.79227934264311,0.7956900467559875,0.9770192339741305,0.777404479962375
5,35.17836016388397,8.59151222464276,4.949773386669277,7.022380346207868,1.0091281114514326,7.086481416662402
6,55.954395843540325,6.832988022016374,5.661760745105718,3.8254660597369288,1.1542835362091166,4.415672491081098
7,49.61548138896857,6.528976013249052,4.9732085340026595,4.230215675223262,1.0139059192665971,4.28904071288321
8,45.61500656407979,2.9199938521079383,2.0867908539824325,2.042466163265239,0.42544156044494036,0.8689499916555536
9,87.08557951101298,0.17045154484278235,0.17023108146256732,0.008666489680130559,0.03470562313202188,0.000300775924716168
10,8.508515764094275,6.463241101966972,0.9562779185261202,6.3921059193895235,0.19495982029074824,1.2462038213236095
11,85.18807763562177,1.9873517383169614,1.980347169281524,0.16670939058764234,0.4037405034213097,0.06730733328091447
12,64.98503431795679,0.022904331482046514,0.02075584490599784,0.009685210523144578,0.0042315687881748915,4.0983634556641604e-05
13,19.241129643355382,5.518099793561676,1.8184593289843813,5.209859019257152,0.37073584688774336,1.9314814956700483
14,74.44557966659228,7.227049466225993,6.962367392928527,1.937958790367597,1.41944289356341,2.750821833006028
15,8.117270282022503,8.365263246668828,1.1811721732761922,8.281452860648686,0.2408098212591625,1.99425518313899
16,21.607503199733436,3.9676028818529465,1.4610551164605194,3.688792563258653,0.29787056400826084,1.0987827213273331
17,64.02736109586439,5.581975901753935,5.018214667421346,2.444581051926675,1.0230814816353406,2.501005604582822
18,55.12694325591829,8.087884953191919,6.635469334255664,4.624330192603135,1.3527970100419293,6.2557800580001395
19,10.747385247302761,0.5971813487765931,0.11136190057205027,0.5867061363473299,0.022703751390835934,0.013320430259107669
20,42.481423571691835,3.186197933636419,2.151802381809243,2.3498093075713724,0.4386956945584593,1.0308512262649556
21,53.70103458200687,9.650311357064798,7.777562014762942,5.712971065462384,1.5856395544878576,9.058712895041797
22,76.85397686232402,4.975405016351805,4.845017533594705,1.131574202559683,0.9877711587349041,1.1177363612569031
23,74.731793662926,6.8267403434533955,6.585781628570243,1.7977385954918117,1.3426669986891422,2.4137642844366245
24,9.63471823796348,9.37051292395222,1.5683069335958113,9.238339992660526,0.31973637789924797,2.953833367055042
25,14.258265153945512,8.096624315849128,1.9941427512538843,7.847210969485971,0.4065530583596094,3.1903076192375974
26,34.621600923680546,3.9324002614985987,2.234209068180027,3.2360595878778846,0.4554962422385376,1.474012981938367
27,71.7356470859868,8.845194237979365,8.399579076128438,2.7720989252637964,1.7124524110353594,4.747087488196517
